Satellite (Orbital position);Azimuth angle;Elevation angle;LNB tilt (Skew);Distance to satellite;Signal delay;Declination angle;Polarmount hour angle;Angle setting on motor;
ABS 3A (3.0°West);256.44°;38.69°;71.30°;37884.21 Km;252.56 ms;-2.16°;229.40°;49.4°West;
Al Yah 1 (52.5°East);135.42°;68.94°;-43.15°;36150.32 Km;241 ms;-2.26°;165.38°;14.62°East;
Alcomsat 1 (24.5°West);263.88°;16.52°;75.65°;39910.87 Km;266.07 ms;-2.04°;252.53°;72.53°West;
Amos 3 (4.0°West);256.89°;37.64°;71.62°;37967.22 Km;253.11 ms;-2.16°;230.51°;50.51°West;
Amos 4 (65.0°East);115.75°;57.35°;-61.35°;36654.12 Km;244.36 ms;-2.23°;150.90°;29.1°East;
Amos 7 (3.9°West);256.84°;37.75°;71.58°;37958.86 Km;253.06 ms;-2.16°;230.40°;50.4°West;
Apstar 7 (76.5°East);106.91°;45.49°;-68.79°;37379.36 Km;249.2 ms;-2.19°;137.84°;42.16°East;
Arabsat 5A / 6A (30.5°East);216.65°;71.16°;35.56°;36077.84 Km;240.52 ms;-2.27°;191.12°;11.12°West;
Arabsat 5C (20.0°East);238.28°;62.27°;55.98°;36414.68 Km;242.76 ms;-2.25°;203.34°;23.34°West;
Asiasat 5 (100.5°East);97.25°;20.57°;-75.14°;39502.29 Km;263.35 ms;-2.07°;111.66°;68.34°East;
Asiasat 7 (105.5°East);95.85°;15.51°;-75.76°;40014.59 Km;266.76 ms;-2.04°;106.43°;73.57°East;
Astra 1KR/L/M/N (19.2°East);239.37°;61.50°;56.97°;36449.68 Km;243 ms;-2.25°;204.26°;24.26°West;
Astra 2E (Eutelsat 28E) (28.5°East);222.13°;69.72°;40.81°;36124.01 Km;240.83 ms;-2.26°;193.46°;13.46°West;
Astra 2F / 2G (28.2°East);222.88°;69.49°;41.53°;36131.68 Km;240.88 ms;-2.26°;193.80°;13.8°West;
Astra 3B (23.5°East);232.79°;65.53°;50.89°;36276.78 Km;241.85 ms;-2.25°;199.28°;19.28°West;
Astra 4A (4.8°East);252.31°;46.85°;68.17°;37286.09 Km;248.57 ms;-2.20°;220.70°;40.7°West;
Astra 5B (31.5°East);213.60°;71.82°;32.63°;36058.00 Km;240.39 ms;-2.26°;189.95°;9.95°West;
AzerSpace 1/Africasat 1a (46.0°East);154.96°;73.22°;-24.36°;36017.97 Km;240.12 ms;-2.26°;172.98°;7.02°East;
AzerSpace 2/Intelsat 38 (45.0°East);158.75°;73.66°;-20.68°;36005.80 Km;240.04 ms;-2.27°;174.14°;5.86°East;
Badr 4/5/6 (26.0°East);227.94°;67.71°;46.34°;36193.79 Km;241.29 ms;-2.26°;196.37°;16.37°West;
Badr 4/5/6/7 (26.0°East);227.94°;67.71°;46.34°;36193.79 Km;241.29 ms;-2.26°;196.37°;16.37°West;
Bangabandhu 1 (119.1°East);92.48°;2.21°;-76.77°;41465.62 Km;276.44 ms;-1.92°;92.71°;87.29°East;
Belintersat 1 (51.5°East);137.87°;69.72°;-40.81°;36124.01 Km;240.83 ms;-2.26°;166.54°;13.46°East;
BSAT 3A / 3C/JCSAT 110R / 4A / 15 (110.0°East);94.68°;11.01°;-76.20°;40487.69 Km;269.92 ms;-2.01°;101.78°;78.22°East;
BSBSAT 3A / 3C/JCSAT 110R / 4A / 15 (110.0°East);94.68°;11.01°;-76.20°;40487.69 Km;269.92 ms;-2.01°;101.78°;78.22°East;
BulgariaSat 1 (1.9°East);253.99°;43.82°;69.49°;37497.80 Km;249.99 ms;-2.19°;223.95°;43.95°West;
ChinaSat 10 (110.5°East);94.55°;10.51°;-76.24°;40540.82 Km;270.27 ms;-2.00°;101.27°;78.73°East;
ChinaSat 11 (98.0°East);98.00°;23.13°;-74.77°;39252.77 Km;261.69 ms;-2.08°;114.32°;65.68°East;
ChinaSat 12 (87.5°East);101.65°;33.99°;-72.61°;38267.97 Km;255.12 ms;-2.14°;125.65°;54.35°East;
ChinaSat 2C (103.5°East);96.40°;17.53°;-75.53°;39807.74 Km;265.38 ms;-2.05°;108.52°;71.48°East;
Chinasat 6B (115.5°East);93.33°;5.61°;-76.59°;41076.51 Km;273.84 ms;-1.97°;96.22°;83.78°East;
Chinasat 9 (92.2°East);99.90°;29.10°;-73.71°;38694.81 Km;257.97 ms;-2.12°;120.53°;59.47°East;
Eurobird 9B / Ka-Sat (9.0°East);249.48°;51.22°;65.86°;37003.76 Km;246.69 ms;-2.21°;215.95°;35.95°West;
Eurobird 9B / Ka-Sat 9A (9.0°East);249.48°;51.22°;65.86°;37003.76 Km;246.69 ms;-2.21°;215.95°;35.95°West;
Eutelsat 10A (10.0°East);248.71°;52.25°;65.22°;36940.98 Km;246.27 ms;-2.22°;214.81°;34.81°West;
Eutelsat 16A (16.0°East);243.19°;58.35°;60.42°;36602.35 Km;244.02 ms;-2.24°;207.95°;27.95°West;
Eutelsat 21B (21.5°East);236.09°;63.69°;53.96°;36352.51 Km;242.35 ms;-2.25°;201.60°;21.6°West;
Eutelsat 25B/Es'hail 1 (25.8°East);228.36°;67.54°;46.74°;36199.94 Km;241.33 ms;-2.26°;196.60°;16.6°West;
Eutelsat 33E (33.0°East);208.63°;72.70°;27.83°;36032.34 Km;240.22 ms;-2.27°;188.20°;8.2°West;
Eutelsat 36B (35.9°East);197.67°;74.01°;17.21°;35996.73 Km;239.98 ms;-2.26°;184.80°;4.8°West;
